unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1750428000,5,5,4,6,6,4,16,54,26.981,36.785343,-119.773056,e00fce682bbf742cd0b6768a,0.594442065,-0.117,0.426,8.44,23.126979040000002
1750428001,6,6,4,6,6,5,16,53,19.27,36.785358,-119.773109,e00fce6858b443fd80f27170,0.644855406,-0.164,0.39,11.986,21.126986496
1750428000,0,0,4,1,1,4,16,53,0.006,36.785404,-119.773109,e00fce68b74b750aa2a7da46,,,,,
1750428000,4,4,4,5,5,5,18,30,20.145,36.138977,-120.368408,e00fce6876826e255108c6bd,,,,,
1750428001,0,0,4,0,0,4,16,53,19.668,36.785412,-119.773247,e00fce686dc2ef0a68fa40b0,0.673641315,-0.097,0.412,6.519,20.25947704
1750428001,5,5,4,6,6,5,18,29,514.815,36.138866,-120.368568,e00fce68e77e43df92405fdb,,,,,
1750428001,5,5,4,6,6,5,16,53,20.169,36.785439,-119.773148,e00fce68e28dcbc9a589be10,0.573744196,-0.042,0.496,3.885,20.842731135999998
1750428001,6,6,4,6,6,5,16,53,27.205,36.785343,-119.773155,e00fce68f12da1a0c5de6248,0.738278937,-0.067,0.399,0.896,20.012257992000002
1750428001,5,5,5,6,6,6,16,53,35.051,36.785297,-119.773087,e00fce68e88237db75a60608,0.501347447,-0.113,0.399,7.67,23.687908152
1750428000,5,5,5,6,6,5,17,30,516.795,36.138985,-120.368263,e00fce68e739ecbcf9e91965,,,,,
1750428600,5,5,4,5,5,4,16,52,28.007,36.785297,-119.773056,e00fce682bbf742cd0b6768a,0.594442065,-0.117,0.426,8.44,23.79805504
1750428601,6,6,4,6,6,5,16,51,21.124,36.785328,-119.773209,e00fce6858b443fd80f27170,0.644855406,-0.164,0.39,11.986,22.178046496
1750428600,0,0,4,0,0,5,17,52,0.006,36.785355,-119.773094,e00fce68b74b750aa2a7da46,,,,,
1750428601,5,5,4,5,5,4,19,28,514.475,36.138908,-120.3685,e00fce68e77e43df92405fdb,,,,,
1750428601,5,5,4,5,5,5,16,52,21.53,36.78545,-119.773186,e00fce68e28dcbc9a589be10,0.573744196,-0.042,0.496,3.885,21.559787136000004
1750428601,6,6,4,6,6,5,17,51,30.017,36.78537,-119.773064,e00fce68f12da1a0c5de6248,0.738278937,-0.067,0.399,0.896,22.006524929
1750428601,6,6,5,6,6,5,16,52,36.45,36.785316,-119.773109,e00fce68e88237db75a60608,0.501347447,-0.113,0.399,7.67,24.359109152000002
1750428601,0,0,4,0,0,4,17,51,21.004,36.785286,-119.773048,e00fce686dc2ef0a68fa40b0,0.673641315,-0.097,0.412,6.519,21.677550355
1750428600,4,4,4,6,6,4,19,26,22.834,36.138977,-120.368408,e00fce6876826e255108c6bd,,,,,
1750428600,5,5,5,6,6,5,18,29,516.29,36.138981,-120.368324,e00fce68e739ecbcf9e91965,,,,,
1750429201,6,6,4,6,6,5,17,50,20.99,36.785332,-119.773209,e00fce6858b443fd80f27170,0.644855406,-0.164,0.39,11.986,22.934641902
1750429201,0,0,4,0,0,4,17,50,21.619,36.785412,-119.773132,e00fce686dc2ef0a68fa40b0,0.673641315,-0.097,0.412,6.519,22.027930354999995
1750429200,4,4,4,5,5,4,21,26,23.96,36.138966,-120.368622,e00fce6876826e255108c6bd,,,,,
1750429200,0,0,4,0,0,5,17,51,0.01,36.785358,-119.77314,e00fce68b74b750aa2a7da46,,,,,
1750429201,7,7,4,8,8,4,19,28,514.355,36.138893,-120.368538,e00fce68e77e43df92405fdb,,,,,
1750429201,5,5,4,5,5,4,17,51,28.657,36.785366,-119.77314,e00fce682bbf742cd0b6768a,0.594442065,-0.117,0.426,8.44,24.786397105
1750429201,5,5,4,6,6,5,17,51,22.034,36.785385,-119.773163,e00fce68e28dcbc9a589be10,0.573744196,-0.042,0.496,3.885,22.425515331999996
1750429201,5,5,4,6,6,5,17,50,31.204,36.78545,-119.773132,e00fce68f12da1a0c5de6248,0.738278937,-0.067,0.399,0.896,22.547137929
1750429201,5,5,5,6,6,6,17,50,36.882,36.785378,-119.773163,e00fce68e88237db75a60608,0.501347447,-0.113,0.399,7.67,25.258824599
1750429200,4,4,5,5,5,5,19,29,516.058,36.139004,-120.36837,e00fce68e739ecbcf9e91965,,,,,
1750429801,6,6,4,6,6,4,17,49,23.275,36.785381,-119.773148,e00fce6858b443fd80f27170,0.644855406,-0.164,0.39,11.986,23.989791902
