objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
6WtgCP5lFd,MOOSPMv3Parser,1761091200,4,4,5,7,7,5,5,7,7,5,541,415,2041,61,40,4,40,40,31,28,40,0,30,33,34,30,56.56,13,1,36.138954,-120.368401,176.673004,7,600,58,3,e00fce68d6b773b56ce8baa0,2025-10-22 00:00:02.141000+00:00,2025-10-22T00:00:02.418Z,2025-10-22T00:00:02.418Z
kQOfwhwCya,MOOSPMv3Parser,1761091200,3,3,2,5,5,2,2,5,5,2,497,359,332,44,18,2,19,19,30,29,19,0,29,34,35,29,34.703,73,1,36.13895,-120.368355,167.613007,8,600,58,3,e00fce686dc2ef0a68fa40b0,2025-10-22 00:00:02.997000+00:00,2025-10-22T00:00:03.323Z,2025-10-22T00:00:03.323Z
N2jUnRwmhV,MOOSPMv3Parser,1761091200,10,10,5,13,13,5,5,13,13,5,1884,528,466,70,36,2,36,36,30,24,36,0,30,34,33,29,0.0,49,1,36.138996,-120.368317,195.570007,5,600,58,3,e00fce68f12da1a0c5de6248,2025-10-22 00:00:02.695000+00:00,2025-10-22T00:00:03.355Z,2025-10-22T00:00:03.355Z
AcbniEC4ah,MOOSPMv3Parser,1761091200,10,10,5,13,13,5,5,13,13,5,2381,590,1865,75,38,2,38,38,30,22,38,0,30,34,33,29,45.971,10,3277,36.138943,-120.368355,170.891006,7,600,58,3,e00fce6858b443fd80f27170,2025-10-22 00:00:02.960000+00:00,2025-10-22T00:00:03.389Z,2025-10-22T00:00:03.389Z
zo5GVLaiRC,MOOSPMv3Parser,1761091200,10,10,5,12,12,6,6,13,13,6,1752,498,54017,73,43,3,43,43,28,27,43,0,29,31,34,33,83.633,20,3277,36.139069,-120.36834,179.936005,7,600,58,3,e00fce68e28dcbc9a589be10,2025-10-22 00:00:03.257000+00:00,2025-10-22T00:00:03.515Z,2025-10-22T00:00:03.515Z
w1H1gxz6Yq,MOOSPMv3Parser,1761091800,5,5,5,7,7,6,6,7,7,6,544,422,2075,62,42,3,42,42,30,29,42,0,29,33,36,31,57.058,20,1,36.138969,-120.368439,171.645004,7,600,58,3,e00fce68d6b773b56ce8baa0,2025-10-22 00:10:02.743000+00:00,2025-10-22T00:10:02.943Z,2025-10-22T00:10:02.943Z
vQD7DtSUC4,MOOSPMv3Parser,1761091800,3,3,2,5,5,3,3,5,5,3,513,373,347,48,19,2,19,19,30,30,19,0,29,33,37,30,34.975,97,1,36.139008,-120.368347,172.927994,8,600,58,3,e00fce686dc2ef0a68fa40b0,2025-10-22 00:10:03.215000+00:00,2025-10-22T00:10:03.450Z,2025-10-22T00:10:03.450Z
WfcOxKOfSd,MOOSPMv3Parser,1761091800,10,10,6,13,13,6,6,13,13,6,1795,508,54054,75,44,3,44,44,28,28,44,0,28,31,37,34,83.814,22,3277,36.139053,-120.368401,176.070007,8,600,58,3,e00fce68e28dcbc9a589be10,2025-10-22 00:10:03.285000+00:00,2025-10-22T00:10:03.481Z,2025-10-22T00:10:03.481Z
d0dAsXWWzH,MOOSPMv3Parser,1761091800,10,10,5,13,13,5,5,14,14,5,2343,600,1899,81,39,3,39,39,29,24,39,0,29,33,34,31,46.512,16,3277,36.139091,-120.368301,175.778,6,600,58,3,e00fce6858b443fd80f27170,2025-10-22 00:10:05.227000+00:00,2025-10-22T00:10:05.425Z,2025-10-22T00:10:05.425Z
DeRpe8Bk2I,MOOSPMv3Parser,1761091800,10,10,5,13,13,5,5,14,14,5,1917,538,497,78,36,2,36,36,29,26,36,0,29,33,34,30,0.0,75,1,36.139015,-120.368309,189.209,5,600,58,3,e00fce68f12da1a0c5de6248,2025-10-22 00:10:07.204000+00:00,2025-10-22T00:10:07.473Z,2025-10-22T00:10:07.473Z
