objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
SEhp2z0AVV,MOOSPMv3Parser,1753574400,2,2,2,3,3,2,2,3,3,2,808,196,89840,20,12,1,13,13,31,22,13,0,33,35,29,29,43.165,21,3277,35.949539,-119.050041,99.209999,6,600,58,3,e00fce6858b443fd80f27170,2025-07-27 00:00:02.033000+00:00,2025-07-27T00:00:02.279Z,2025-07-27T00:00:02.279Z
sFEsMn5Xn9,MOOSPMv3Parser,1753574400,1,1,1,2,2,1,1,2,2,1,423,118,46507,12,8,0,8,8,34,14,8,0,35,39,22,21,48.34,34,1,35.613285,-119.689583,51.146999,9,600,58,3,e00fce682bbf742cd0b6768a,2025-07-27 00:00:02.382000+00:00,2025-07-27T00:00:02.703Z,2025-07-27T00:00:02.703Z
ix19rmg14B,MOOSPMv3Parser,1753574400,0,0,2,0,0,2,2,0,0,2,232,131,89051,13,14,1,14,14,33,27,14,0,34,37,30,28,50.767,30,1,35.670383,-119.239044,59.186001,5,600,58,3,e00fce686dc2ef0a68fa40b0,2025-07-27 00:00:02.995000+00:00,2025-07-27T00:00:03.402Z,2025-07-27T00:00:03.402Z
ZLpzQC5nqP,MOOSPMv3Parser,1753574401,0,0,2,0,0,2,2,0,0,2,254,182,8924,20,17,1,18,18,34,14,18,0,34,38,17,16,53.198,12,1,40.594227,-105.075798,1500.829956,8,599,58,3,e00fce68b74b750aa2a7da46,2025-07-27 00:00:03.300000+00:00,2025-07-27T00:00:03.607Z,2025-07-27T00:00:03.607Z
loFlUeyhH0,MOOSPMv3Parser,1753574400,2,2,2,3,3,2,2,3,3,2,660,182,123758,21,13,1,13,13,34,17,13,0,34,38,28,25,43.253,11,3277,36.526512,-119.290222,72.132004,6,600,58,3,e00fce68e28dcbc9a589be10,2025-07-27 00:00:03.245000+00:00,2025-07-27T00:00:03.614Z,2025-07-27T00:00:03.614Z
IA7zgUIdgz,MOOSPMv3Parser,1753574400,3,3,2,4,4,2,2,4,4,2,837,203,71239,25,16,1,16,16,31,22,16,0,32,35,30,29,50.424,22,2,36.037621,-120.173233,201.360001,5,600,58,3,e00fce68e88237db75a60608,2025-07-27 00:00:07.688000+00:00,2025-07-27T00:00:07.857Z,2025-07-27T00:00:07.857Z
uhEuTEHGAk,MOOSPMv3Parser,1753575000,2,2,2,3,3,2,2,3,3,2,852,205,89851,20,12,1,13,13,30,22,13,0,32,34,30,30,44.878,20,3277,35.949635,-119.050011,116.513,9,600,58,3,e00fce6858b443fd80f27170,2025-07-27 00:10:01.943000+00:00,2025-07-27T00:10:02.151Z,2025-07-27T00:10:02.151Z
nnH0xrtMNK,MOOSPMv3Parser,1753575000,2,2,1,2,2,2,2,2,2,2,480,139,46517,14,11,0,11,11,34,15,11,0,35,39,23,22,45.771,125,1,35.613224,-119.689644,65.431999,8,600,58,3,e00fce682bbf742cd0b6768a,2025-07-27 00:10:02.240000+00:00,2025-07-27T00:10:02.441Z,2025-07-27T00:10:02.441Z
WmuuONK3V9,MOOSPMv3Parser,1753575000,2,2,2,3,3,2,2,3,3,2,723,201,123770,19,15,1,15,15,34,16,15,0,35,38,25,23,42.233,10,3277,36.526512,-119.290222,72.136002,0,600,58,3,e00fce68e28dcbc9a589be10,2025-07-27 00:10:03.058000+00:00,2025-07-27T00:10:03.283Z,2025-07-27T00:10:03.283Z
nNNbPNMj0r,MOOSPMv3Parser,1753575000,3,3,4,5,4,4,4,5,5,4,457,325,89079,43,33,2,33,33,33,27,33,0,33,36,29,27,51.911,46,1,35.670372,-119.239059,67.32,6,600,58,3,e00fce686dc2ef0a68fa40b0,2025-07-27 00:10:03.164000+00:00,2025-07-27T00:10:03.443Z,2025-07-27T00:10:03.443Z
