objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
oHNf6wJlKl,MOOSPMv3Parser,1716854401,1,1,1,2,2,2,2,3,3,2,639,162,445,21,12,1,12,12,30,18,12,0,32,34,23,22,511.845,24,1,36.634312,-120.382378,14.141,8,600,58,3,e00fce6835b6173deb1a1f49,2024-05-28 00:00:02.104000+00:00,2024-05-28T00:00:02.329Z,2024-05-28T00:00:02.329Z
NJ0eBD29v1,MOOSPMv3Parser,1716854400,2,2,2,3,3,3,3,4,4,3,511,155,318539,25,17,3,18,18,0,0,18,1,32,36,28,25,0.0,32,1,36.433884,-119.922752,39.728001,6,599,58,3,e00fce6876826e255108c6bd,2024-05-28 00:00:03.597000+00:00,2024-05-28T00:00:03.925Z,2024-05-28T00:00:03.925Z
e5Tyuyh4pz,MOOSPMv3Parser,1716855000,1,1,2,2,2,2,2,3,3,2,561,163,555516,21,13,1,13,13,32,13,13,0,32,37,21,18,511.087,59,1,36.785381,-119.773193,55.193001,7,600,58,3,e00fce6856818e5885f65487,2024-05-28 00:09:57.846000+00:00,2024-05-28T00:09:58.033Z,2024-05-28T00:09:58.033Z
HneygJ2QZ7,MOOSPMv3Parser,1716855001,2,2,1,3,3,2,2,3,3,2,666,169,455,23,11,1,12,12,29,18,12,0,32,34,22,22,511.856,26,1,36.634285,-120.382294,38.091,7,600,58,3,e00fce6835b6173deb1a1f49,2024-05-28 00:10:01.858000+00:00,2024-05-28T00:10:02.069Z,2024-05-28T00:10:02.069Z
ACmHFvFCAO,MOOSPMv3Parser,1716855000,2,2,2,3,3,2,3,4,4,3,538,166,318555,25,16,2,17,17,0,0,17,1,32,36,26,24,0.0,37,1,36.433899,-119.922806,36.398998,5,599,58,3,e00fce6876826e255108c6bd,2024-05-28 00:10:03.801000+00:00,2024-05-28T00:10:03.989Z,2024-05-28T00:10:03.989Z
TjMOxRfPcx,MOOSPMv3Parser,1716855600,2,2,2,3,3,2,2,3,3,2,599,175,555516,25,13,1,13,13,32,13,13,0,32,37,20,18,511.063,73,1,36.785328,-119.773186,72.849998,7,600,58,3,e00fce6856818e5885f65487,2024-05-28 00:19:57.936000+00:00,2024-05-28T00:19:58.110Z,2024-05-28T00:19:58.110Z
nI5syWcHa4,MOOSPMv3Parser,1716855601,2,2,1,2,2,2,2,3,3,2,652,166,465,19,12,1,12,12,29,18,12,0,32,34,22,22,511.825,22,1,36.634285,-120.382401,22.971001,6,600,58,3,e00fce6835b6173deb1a1f49,2024-05-28 00:20:01.857000+00:00,2024-05-28T00:20:02.075Z,2024-05-28T00:20:02.075Z
6cD2JVaLDQ,MOOSPMv3Parser,1716855600,2,2,2,3,3,2,3,4,4,3,490,151,318571,25,16,2,16,16,0,0,16,1,32,35,27,24,0.0,36,1,36.433849,-119.922752,22.608999,5,599,58,3,e00fce6876826e255108c6bd,2024-05-28 00:20:03.610000+00:00,2024-05-28T00:20:03.800Z,2024-05-28T00:20:03.800Z
21zQbLJCwa,MOOSPMv3Parser,1716856200,2,2,2,2,2,2,2,3,3,2,573,166,555516,19,14,1,14,14,32,13,14,0,32,37,21,19,511.064,76,1,36.785316,-119.773003,117.920998,5,600,58,3,e00fce6856818e5885f65487,2024-05-28 00:29:57.785000+00:00,2024-05-28T00:29:57.985Z,2024-05-28T00:29:57.985Z
TkM5DDrZgA,MOOSPMv3Parser,1716856201,1,1,2,2,2,2,2,3,3,2,629,162,475,21,12,1,12,12,29,18,12,0,32,34,22,22,511.779,20,1,36.634327,-120.382332,22.472,6,600,58,3,e00fce6835b6173deb1a1f49,2024-05-28 00:30:01.922000+00:00,2024-05-28T00:30:02.080Z,2024-05-28T00:30:02.080Z
PGHcH3RxWB,MOOSPMv3Parser,1716856200,2,2,2,3,3,2,2,4,4,2,502,152,318587,25,16,3,16,16,0,0,16,0,31,35,27,25,0.0,31,1,36.433853,-119.922768,27.114,7,599,58,3,e00fce6876826e255108c6bd,2024-05-28 00:30:03.704000+00:00,2024-05-28T00:30:03.914Z,2024-05-28T00:30:03.914Z
