"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","moos","counter","ver","coreid","published_at","createdAt","updatedAt","date"
"1","MCiEiXL1UQ","MOOSPMv3Parser",1680566401,0,0,6479.03,0,0,6479.03,6479.03,0.2,0.2,6479.03,106.03,22.64,6479.03,3.95,6479.03,0.63,6479.03,6479.03,22.1,20.8,6479.03,64.79,0,327.7,0,655.3,0.159,6479,6479,0,0,0,0,58,88,1,"e00fce6835b6173deb1a1f49",2023-04-04 00:00:02,2023-04-04 00:00:02,2023-04-04 00:00:02,2023-04-04
"2","y5br7qX0fm","MOOSPMv3Parser",1680646021,0,0,6494.46,0,0,6494.46,6494.46,0,0,6494.46,113.23,31.28,6494.46,4.22,6494.46,0.48,6494.46,6494.46,20.3,18.4,6494.46,64.94,0,327.7,0,655.3,0.171,6494.5,6494.5,0,0,0,0,58,111,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:07:03,2023-04-04 22:07:03,2023-04-04 22:07:03,2023-04-04
"3","Cf4S1rucbF","MOOSPMv3Parser",1680646201,0,0,0.47,0.1,0.1,0.58,0.64,0.1,0.1,0.67,108.76,29.83,2.99,6.36,3.59,0.39,3.7,3.7,20.6,17.9,3.71,0.48,0,23.6,0,14.4,0.066,6.4,0.5,0,0,0,0,58,70,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:10:02,2023-04-04 22:10:02,2023-04-04 22:10:02,2023-04-04
"4","5FxhXnY5gI","MOOSPMv3Parser",1680646261,0,0,0.38,0,0,0.42,0.44,0,0,0.46,117.63,31.35,6.01,2.98,2.95,0,2.98,2.99,20.7,17.9,2.99,0.48,0,23.6,0,14.5,0.057,24.6,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:11:03,2023-04-04 22:11:03,2023-04-04 22:11:03,2023-04-04
"5","jInNQpoNzb","MOOSPMv3Parser",1680646321,0,0,0.38,0,0,0.43,0.44,0,0,0.44,88.44,23.85,8.63,4.02,3.06,0,3.07,3.07,20.8,17.8,3.07,0.44,0,23.6,0,14.5,0.123,52.1,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:12:02,2023-04-04 22:12:02,2023-04-04 22:12:02,2023-04-04
"6","hl4wot3JVh","MOOSPMv3Parser",1680646381,0,0,0.32,0,0,0.33,0.33,0,0,0.33,123.59,27.9,10.83,4.82,2.56,0.41,2.57,2.57,20.9,17.7,2.57,0.42,0,23.6,0,14.6,0.091,57.6,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:13:02,2023-04-04 22:13:02,2023-04-04 22:13:02,2023-04-04
"7","RGiEOpjwJz","MOOSPMv3Parser",1680646681,0.01,0.01,0.35,0.05,0.05,0.44,0.48,0.05,0.05,0.51,81.6,21.32,2.26,1.81,2.72,0.22,2.79,2.8,21.2,17.5,2.8,0.59,24.9,25.2,13.9,13.4,0.116,76.8,0.9,0,0,0,0,58,114,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:18:03,2023-04-04 22:18:03,2023-04-04 22:18:03,2023-04-04
"8","P6Gp7Vvk9m","MOOSPMv3Parser",1680646741,0,0,0.36,0,0,0.43,0.45,0,0,0.48,78.4,22.17,6.65,6.27,2.82,0,2.86,2.87,21.3,17.5,2.87,0.58,24.7,25.1,13.8,13.6,0.07,137.7,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:19:04,2023-04-04 22:19:04,2023-04-04 22:19:04,2023-04-04
"9","C6fyDCXiLg","MOOSPMv3Parser",1680646801,0,0,0.19,0,0,0.22,0.24,0,0,0.24,87.06,23.4,7.85,3.16,1.44,0.26,1.46,1.46,21.4,17.4,1.46,0.57,24.7,25,13.9,13.7,0.07,114.1,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:20:03,2023-04-04 22:20:03,2023-04-04 22:20:03,2023-04-04
"10","FbqSrR1J8x","MOOSPMv3Parser",1680646861,0,0,0.36,0,0,0.42,0.45,0,0,0.46,91.62,27.17,10.24,3.83,2.84,0.13,2.87,2.88,21.5,17.3,2.88,0.54,24.7,24.9,13.9,13.8,0.098,109.6,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:21:03,2023-04-04 22:21:03,2023-04-04 22:21:03,2023-04-04
"11","AvHLDoM4ln","MOOSPMv3Parser",1680646921,0,0,0.26,0,0,0.27,0.28,0,0,0.29,95.37,26.04,11.88,3.77,1.94,0,1.96,1.97,21.5,17.2,1.97,0.52,24.8,24.9,14.4,13.8,0.066,106.9,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:22:03,2023-04-04 22:22:03,2023-04-04 22:22:03,2023-04-04
"12","EkwTl8bviu","MOOSPMv3Parser",1680646981,0,0,0.4,0,0,0.43,0.45,0,0,0.45,139.62,32.78,14.48,4.94,3.05,0.22,3.08,3.09,21.6,17.1,3.09,0.48,24.8,24.9,13.9,13.8,0.117,87.9,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:23:03,2023-04-04 22:23:03,2023-04-04 22:23:03,2023-04-04
"13","8Ek7EvgUpR","MOOSPMv3Parser",1680647041,0,0,0.31,0,0,0.34,0.34,0.06,0.06,0.34,178.53,42.29,16.48,4.92,2.34,0.24,2.37,2.37,21.7,17.1,2.38,0.47,24.9,24.9,13.8,13.9,0.081,119.6,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:24:03,2023-04-04 22:24:04,2023-04-04 22:24:04,2023-04-04
"14","PiDU4obuht","MOOSPMv3Parser",1680647101,0,0,0.31,0,0,0.33,0.33,0,0,0.34,106.04,26.67,18.48,1.54,2.34,0,2.37,2.37,21.7,17.1,2.37,0.47,25,24.9,13.7,13.9,0.062,110,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:25:03,2023-04-04 22:25:03,2023-04-04 22:25:03,2023-04-04
"15","ezzr4GP0FI","MOOSPMv3Parser",1680647161,0,0,0.33,0,0,0.36,0.37,0,0,0.37,91,23.47,20.62,6.65,2.51,0.45,2.53,2.54,21.8,17,2.54,0.47,24.9,24.9,13.8,13.9,0.108,101.5,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:26:03,2023-04-04 22:26:03,2023-04-04 22:26:03,2023-04-04
"16","kKQ3wZc8tO","MOOSPMv3Parser",1680647221,0,0,0.3,0,0,0.33,0.35,0,0,0.36,87.4,19.6,22.66,3.02,2.39,0,2.42,2.42,21.9,17,2.42,0.46,24.9,24.9,13.8,13.9,0.076,103.1,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:27:03,2023-04-04 22:27:03,2023-04-04 22:27:03,2023-04-04
"17","W2bqGdm6RX","MOOSPMv3Parser",1680647281,0,0,0.34,0,0,0.37,0.39,0.22,0.22,0.39,118.88,31.06,24.97,3.39,2.69,0.47,2.72,2.72,21.9,16.9,2.72,0.46,24.8,24.9,13.9,13.9,0.059,99.6,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:28:03,2023-04-04 22:28:03,2023-04-04 22:28:03,2023-04-04
"18","Tu57yeMnZu","MOOSPMv3Parser",1680647341,0,0,0.41,0,0,0.45,0.46,0.02,0.02,0.46,125.29,32.82,27.7,3.73,3.19,0.37,3.22,3.22,22,16.9,3.22,0.45,24.7,24.9,13.8,13.9,0.085,107.2,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:29:03,2023-04-04 22:29:03,2023-04-04 22:29:03,2023-04-04
"19","uRm2emqBwo","MOOSPMv3Parser",1680647401,0,0,0.39,0,0,0.42,0.42,0.31,0.31,0.42,144.24,29.63,30.38,2.45,3.11,0.47,3.13,3.13,22,16.9,3.13,0.44,24.6,24.9,13.9,13.9,0.074,98.1,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:30:03,2023-04-04 22:30:03,2023-04-04 22:30:03,2023-04-04
"20","QHFgRVquMp","MOOSPMv3Parser",1680647461,0,0,0.35,0.08,0.08,0.36,0.36,0.08,0.08,0.36,159.06,29.53,32.61,3.86,2.6,0.24,2.61,2.61,22.1,17,2.61,0.44,24.5,24.9,14.4,14.2,0.102,109.8,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:31:03,2023-04-04 22:31:03,2023-04-04 22:31:03,2023-04-04
"21","8bjPFCpGkM","MOOSPMv3Parser",1680647521,0,0,0.52,0.2,0.2,0.56,0.56,0.32,0.32,0.56,149.22,34.26,36.13,7.06,4.1,1.14,4.11,4.11,22.1,16.9,4.11,0.44,24.5,25,14.1,13.9,0.151,90.8,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:32:03,2023-04-04 22:32:04,2023-04-04 22:32:04,2023-04-04
"22","q6jVVi73tb","MOOSPMv3Parser",1680647581,0,0,0.37,0,0,0.37,0.37,0,0,0.37,106.19,26.57,38.55,2.75,2.8,0,2.81,2.81,22.2,16.7,2.81,0.44,24.5,25,14.1,13.9,0.074,110.8,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:33:03,2023-04-04 22:33:03,2023-04-04 22:33:03,2023-04-04
"23","XFhXADsxmW","MOOSPMv3Parser",1680647641,0,0,0.37,0.04,0.04,0.38,0.38,0.04,0.04,0.38,182.59,49.16,41.11,3.12,2.98,0.29,2.99,2.99,22.2,16.7,2.99,0.44,24.4,25,14,13.9,3.223,117.3,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:34:03,2023-04-04 22:34:03,2023-04-04 22:34:03,2023-04-04
"24","j1CjjGE9Do","MOOSPMv3Parser",1680647701,0,0,0.34,0,0,0.36,0.36,0,0,0.36,92.82,18.51,43.45,4.24,2.7,0.12,2.71,2.71,22.3,16.7,2.71,0.43,24.4,25,14,13.8,0.079,107.8,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-04 22:35:03,2023-04-04 22:35:03,2023-04-04 22:35:03,2023-04-04
